Ats System Code,Geographical District Code,Elementary Admissions Methods,Elementary School Admissions Methods Description
01M188,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M315,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M361,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M363,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M364,1,Non-Zoned,"This school does not have a zone. It prioritizes applicants living in temporary housing, who are English Language Learners, and/or are eligible for Free and Reduced Lunch (based on family income) for 67% of offers. Students who do not fall into any of these groups will get priority for the remaining 33% of offers."
01M539,1,Citywide G&T,
02M001,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M002,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M003,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M006,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M011,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M033,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M040,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M041,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M042,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M051,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M059,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M077,2,G&T Only,School that exclusively offers Gifted & Talented programming and eligibility determined by test score
02M089,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M111,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M116,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M124,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M126,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M130,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M150,2,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
02M151,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M158,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M183,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M198,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M212,2,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
02M217,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M225,2,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
02M234,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend. There is priority to applicants living in temporary housing after all zoned students are admitted."
02M267,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M276,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M281,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M290,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M340,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M343,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M347,2,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
02M397,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
02M527,2,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend. After all zoned students are admitted, there is priority to applicants eligible for Free or Reduced Price Lunch (based on family income)."
03M009,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M075,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M076,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M084,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M087,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M145,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M149,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M163,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M165,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M166,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M180,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M185,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M191,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M199,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M241,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M242,3,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
03M333,3,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
03M334,3,Citywide G&T,
03M452,3,Zoned,"After all zoned students are admitted, priority to applicants eligible for Free or Reduced Price Lunch (based on family income)."
03M859,3,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
04M007,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M012,4,Citywide G&T,
04M037,4,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
04M038,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M050,4,No Data,No Admissions Methods Data
04M057,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M072,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M083,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M096,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M102,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M108,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M112,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M146,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M155,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M171,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M182,4,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
04M375,4,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
04M497,4,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
04M964,4,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
05M030,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M036,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M046,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M092,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M123,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M125,5,Zoned,Priority to applicants eligible for Free or Reduced Price Lunch (based on family income) and/or who are English Language Learners for 60% of seats
05M129,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M133,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M154,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M161,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M175,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M194,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M197,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M200,5,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
05M318,5,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
05M517,5,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M004,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M005,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M008,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M018,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M028,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M048,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M098,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M103,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M115,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M128,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M132,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M152,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M153,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M173,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M178,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M187,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M189,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M192,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M210,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M278,6,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
06M311,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M314,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them.  There is priority to applicants eligible for Free or Reduced Price Lunch (based on family income) and/or live in temporary housing for 30% of seats.
06M348,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. There is priority to applicants eligible for Free or Reduced Price Lunch (based on family income) and/or in temporary housing for 75% of seats.
06M366,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M368,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
06M513,6,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them.  There is priority to applicants whose family has been impacted by incarcerations for 10% of seats.  There is also priority to applicants eligible for Free or Reduced Price Lunch (based on family income) for 60% of seats
07X001,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X005,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X018,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X025,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X029,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X030,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X031,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X043,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X049,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X065,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X154,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X157,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X161,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X179,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X277,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X359,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
07X369,7,Non-Zoned,"This school does not have a zone. However, students who live in the district have priority to attend."
08X014,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X036,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X048,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X062,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X069,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X071,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X072,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X075,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X093,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X100,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X107,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X119,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X130,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X138,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X140,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X146,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X152,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X182,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X304,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X333,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X392,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
08X583,8,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X004,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X011,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X028,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X035,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X042,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X053,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X055,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X058,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X063,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X070,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X073,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X088,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X109,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X110,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X114,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X126,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X132,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X163,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X170,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X199,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X204,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X218,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X236,9,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
09X274,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X294,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X311,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X443,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X449,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X457,9,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
09X555,9,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X003,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X007,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X008,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X009,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X015,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X020,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X023,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X024,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X032,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X033,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X037,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X046,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X051,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X054,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X056,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X059,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X077,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X081,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X085,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X086,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X091,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X094,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X095,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X159,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X205,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X207,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X209,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X226,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X246,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X279,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X280,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X291,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X306,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X307,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X310,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X315,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X340,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X344,10,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
10X360,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X382,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X386,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
10X396,10,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X016,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X019,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X021,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X041,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X068,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X076,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X078,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X083,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X087,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X089,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X096,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X097,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X103,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X105,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X106,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X108,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X111,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X112,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X121,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X153,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X160,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X169,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X175,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X178,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X189,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X194,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X357,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X481,11,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
11X483,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
11X498,11,Non-Zoned,This school does not have a zone. Families who live anywhere in the district or borough can attend them. 
11X567,11,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X006,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X044,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X047,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X057,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X061,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X066,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X067,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
12X092,12,No Data,No Admissions Methods Data
12X134,12,Zoned,"Kids who live in the zone, particularly those with siblings at the school, have the highest priority to attend."
