,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1, % Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
19,01M063,The STAR Academy - P.S.63,3,2018,All Students,20,601,1,5.0,10,50.0,9,45.0,0,0.0,9,45.0
20,01M063,The STAR Academy - P.S.63,4,2018,All Students,23,609,0,0.0,7,30.4,11,47.8,5,21.7,16,69.6
21,01M063,The STAR Academy - P.S.63,5,2018,All Students,22,609,3,13.6,7,31.8,7,31.8,5,22.7,12,54.5
23,01M064,P.S. 064 Robert Simon,3,2018,All Students,26,592,5,19.2,14,53.8,7,26.9,0,0.0,7,26.9
24,01M064,P.S. 064 Robert Simon,4,2018,All Students,28,605,1,3.6,11,39.3,13,46.4,3,10.7,16,57.1
25,01M064,P.S. 064 Robert Simon,5,2018,All Students,32,591,17,53.1,10,31.3,2,6.3,3,9.4,5,15.6
27,01M110,P.S. 110 Florence Nightingale,3,2018,All Students,45,616,3,6.7,6,13.3,25,55.6,11,24.4,36,80.0
28,01M110,P.S. 110 Florence Nightingale,4,2018,All Students,57,614,3,5.3,10,17.5,18,31.6,26,45.6,44,77.2
29,01M110,P.S. 110 Florence Nightingale,5,2018,All Students,69,611,12,17.4,10,14.5,24,34.8,23,33.3,47,68.1
31,01M134,P.S. 134 Henrietta Szold,3,2018,All Students,47,595,8,17.0,19,40.4,19,40.4,1,2.1,20,42.6
32,01M134,P.S. 134 Henrietta Szold,4,2018,All Students,47,591,14,29.8,18,38.3,11,23.4,4,8.5,15,31.9
33,01M134,P.S. 134 Henrietta Szold,5,2018,All Students,49,591,24,49.0,16,32.7,7,14.3,2,4.1,9,18.4
35,01M140,P.S. 140 Nathan Straus,3,2018,All Students,20,584,8,40.0,10,50.0,2,10.0,0,0.0,2,10.0
36,01M140,P.S. 140 Nathan Straus,4,2018,All Students,20,589,6,30.0,11,55.0,3,15.0,0,0.0,3,15.0
37,01M140,P.S. 140 Nathan Straus,5,2018,All Students,25,595,11,44.0,10,40.0,3,12.0,1,4.0,4,16.0
38,01M140,P.S. 140 Nathan Straus,6,2018,All Students,57,595,16,28.1,19,33.3,13,22.8,9,15.8,22,38.6
39,01M140,P.S. 140 Nathan Straus,7,2018,All Students,48,593,20,41.7,19,39.6,8,16.7,1,2.1,9,18.8
40,01M140,P.S. 140 Nathan Straus,8,2018,All Students,57,597,7,12.3,32,56.1,13,22.8,5,8.8,18,31.6
42,01M142,P.S. 142 Amalia Castro,3,2018,All Students,29,601,3,10.3,9,31.0,17,58.6,0,0.0,17,58.6
43,01M142,P.S. 142 Amalia Castro,4,2018,All Students,35,597,5,14.3,16,45.7,12,34.3,2,5.7,14,40.0
44,01M142,P.S. 142 Amalia Castro,5,2018,All Students,35,592,16,45.7,12,34.3,4,11.4,3,8.6,7,20.0
46,01M184,P.S. 184m Shuang Wen,3,2018,All Students,65,610,4,6.2,12,18.5,42,64.6,7,10.8,49,75.4
47,01M184,P.S. 184m Shuang Wen,4,2018,All Students,61,611,3,4.9,14,23.0,21,34.4,23,37.7,44,72.1
48,01M184,P.S. 184m Shuang Wen,5,2018,All Students,48,611,6,12.5,11,22.9,20,41.7,11,22.9,31,64.6
49,01M184,P.S. 184m Shuang Wen,6,2018,All Students,85,611,14,16.5,8,9.4,20,23.5,43,50.6,63,74.1
50,01M184,P.S. 184m Shuang Wen,7,2018,All Students,77,614,6,7.8,17,22.1,27,35.1,27,35.1,54,70.1
51,01M184,P.S. 184m Shuang Wen,8,2018,All Students,84,613,5,6.0,16,19.0,27,32.1,36,42.9,63,75.0
53,01M188,P.S. 188 The Island School,3,2018,All Students,40,603,4,10.0,14,35.0,20,50.0,2,5.0,22,55.0
54,01M188,P.S. 188 The Island School,4,2018,All Students,41,598,5,12.2,19,46.3,15,36.6,2,4.9,17,41.5
55,01M188,P.S. 188 The Island School,5,2018,All Students,41,585,32,78.0,9,22.0,0,0.0,0,0.0,0,0.0
56,01M188,P.S. 188 The Island School,6,2018,All Students,39,599,5,12.8,15,38.5,17,43.6,2,5.1,19,48.7
57,01M188,P.S. 188 The Island School,7,2018,All Students,49,600,13,26.5,20,40.8,15,30.6,1,2.0,16,32.7
58,01M188,P.S. 188 The Island School,8,2018,All Students,55,605,1,1.8,25,45.5,16,29.1,13,23.6,29,52.7
60,01M301,"Technology, Arts, and Sciences Studio",6,2018,All Students,26,588,14,53.8,9,34.6,2,7.7,1,3.8,3,11.5
61,01M301,"Technology, Arts, and Sciences Studio",7,2018,All Students,15,598,4,26.7,8,53.3,3,20.0,0,0.0,3,20.0
62,01M301,"Technology, Arts, and Sciences Studio",8,2018,All Students,45,601,3,6.7,24,53.3,12,26.7,6,13.3,18,40.0
64,01M315,The East Village Community School,3,2018,All Students,41,609,1,2.4,10,24.4,27,65.9,3,7.3,30,73.2
65,01M315,The East Village Community School,4,2018,All Students,32,604,2,6.3,12,37.5,16,50.0,2,6.3,18,56.3
66,01M315,The East Village Community School,5,2018,All Students,34,616,3,8.8,9,26.5,7,20.6,15,44.1,22,64.7
68,01M332,University Neighborhood Middle School,6,2018,All Students,64,590,30,46.9,17,26.6,9,14.1,8,12.5,17,26.6
69,01M332,University Neighborhood Middle School,7,2018,All Students,52,593,23,44.2,19,36.5,9,17.3,1,1.9,10,19.2
70,01M332,University Neighborhood Middle School,8,2018,All Students,52,593,17,32.7,19,36.5,13,25.0,3,5.8,16,30.8
72,01M361,The Children's Workshop School,3,2018,All Students,33,603,4,12.1,9,27.3,18,54.5,2,6.1,20,60.6
73,01M361,The Children's Workshop School,4,2018,All Students,28,610,1,3.6,6,21.4,15,53.6,6,21.4,21,75.0
74,01M361,The Children's Workshop School,5,2018,All Students,27,614,3,11.1,5,18.5,11,40.7,8,29.6,19,70.4
76,01M363,Neighborhood School,3,2018,All Students,8,604,0,0.0,4,50.0,4,50.0,0,0.0,4,50.0
77,01M363,Neighborhood School,4,2018,All Students,7,609,0,0.0,2,28.6,4,57.1,1,14.3,5,71.4
78,01M363,Neighborhood School,5,2018,All Students,17,605,3,17.6,8,47.1,3,17.6,3,17.6,6,35.3
80,01M364,Earth School,3,2018,All Students,7,592,1,14.3,6,85.7,0,0.0,0,0.0,0,0.0
81,01M364,Earth School,4,2018,All Students,18,604,2,11.1,6,33.3,6,33.3,4,22.2,10,55.6
82,01M364,Earth School,5,2018,All Students,11,601,4,36.4,3,27.3,3,27.3,1,9.1,4,36.4
84,01M378,School for Global Leaders,6,2018,All Students,59,593,22,37.3,22,37.3,6,10.2,9,15.3,15,25.4
85,01M378,School for Global Leaders,7,2018,All Students,67,596,22,32.8,30,44.8,13,19.4,2,3.0,15,22.4
86,01M378,School for Global Leaders,8,2018,All Students,80,594,18,22.5,35,43.8,20,25.0,7,8.8,27,33.8
88,01M450,East Side Community School,6,2018,All Students,87,603,16,18.4,23,26.4,24,27.6,24,27.6,48,55.2
89,01M450,East Side Community School,7,2018,All Students,81,601,14,17.3,36,44.4,24,29.6,7,8.6,31,38.3
90,01M450,East Side Community School,8,2018,All Students,62,607,5,8.1,16,25.8,23,37.1,18,29.0,41,66.1
92,01M539,"New Explorations into Science, Technology and Math",3,2018,All Students,112,633,0,0.0,1,0.9,34,30.4,77,68.8,111,99.1
93,01M539,"New Explorations into Science, Technology and Math",4,2018,All Students,111,632,0,0.0,3,2.7,15,13.5,93,83.8,108,97.3
94,01M539,"New Explorations into Science, Technology and Math",5,2018,All Students,105,630,1,1.0,5,4.8,15,14.3,84,80.0,99,94.3
95,01M539,"New Explorations into Science, Technology and Math",6,2018,All Students,134,631,0,0.0,1,0.7,10,7.5,123,91.8,133,99.3
96,01M539,"New Explorations into Science, Technology and Math",7,2018,All Students,134,628,0,0.0,4,3.0,40,29.9,90,67.2,130,97.0
97,01M539,"New Explorations into Science, Technology and Math",8,2018,All Students,131,629,1,0.8,2,1.5,16,12.2,112,85.5,128,97.7
99,01M839,Tompkins Square Middle School,6,2018,All Students,108,606,19,17.6,23,21.3,27,25.0,39,36.1,66,61.1
100,01M839,Tompkins Square Middle School,7,2018,All Students,106,608,19,17.9,30,28.3,36,34.0,21,19.8,57,53.8
101,01M839,Tompkins Square Middle School,8,2018,All Students,56,603,6,10.7,19,33.9,21,37.5,10,17.9,31,55.4
103,02M001,P.S. 001 Alfred E. Smith,3,2018,All Students,44,601,9,20.5,12,27.3,15,34.1,8,18.2,23,52.3
104,02M001,P.S. 001 Alfred E. Smith,4,2018,All Students,51,608,8,15.7,11,21.6,12,23.5,20,39.2,32,62.7
105,02M001,P.S. 001 Alfred E. Smith,5,2018,All Students,47,603,11,23.4,15,31.9,10,21.3,11,23.4,21,44.7
107,02M002,P.S. 002 Meyer London,3,2018,All Students,63,607,7,11.1,14,22.2,37,58.7,5,7.9,42,66.7
108,02M002,P.S. 002 Meyer London,4,2018,All Students,82,610,11,13.4,14,17.1,23,28.0,34,41.5,57,69.5
109,02M002,P.S. 002 Meyer London,5,2018,All Students,115,609,19,16.5,33,28.7,34,29.6,29,25.2,63,54.8
111,02M003,P.S. 003 Charrette School,3,2018,All Students,92,616,3,3.3,15,16.3,48,52.2,26,28.3,74,80.4
112,02M003,P.S. 003 Charrette School,4,2018,All Students,103,614,2,1.9,19,18.4,39,37.9,43,41.7,82,79.6
113,02M003,P.S. 003 Charrette School,5,2018,All Students,93,611,8,8.6,30,32.3,31,33.3,24,25.8,55,59.1
115,02M006,P.S. 006 Lillie D. Blake,3,2018,All Students,91,622,1,1.1,4,4.4,57,62.6,29,31.9,86,94.5
116,02M006,P.S. 006 Lillie D. Blake,4,2018,All Students,97,621,0,0.0,9,9.3,32,33.0,56,57.7,88,90.7
117,02M006,P.S. 006 Lillie D. Blake,5,2018,All Students,112,625,2,1.8,11,9.8,28,25.0,71,63.4,99,88.4
119,02M011,P.S. 011 William T. Harris,3,2018,All Students,130,614,9,6.9,25,19.2,62,47.7,34,26.2,96,73.8
120,02M011,P.S. 011 William T. Harris,4,2018,All Students,147,614,10,6.8,25,17.0,41,27.9,71,48.3,112,76.2
121,02M011,P.S. 011 William T. Harris,5,2018,All Students,174,614,20,11.5,37,21.3,50,28.7,67,38.5,117,67.2
123,02M033,P.S. 033 Chelsea Prep,3,2018,All Students,109,613,8,7.3,26,23.9,45,41.3,30,27.5,75,68.8
124,02M033,P.S. 033 Chelsea Prep,4,2018,All Students,101,611,22,21.8,15,14.9,15,14.9,49,48.5,64,63.4
125,02M033,P.S. 033 Chelsea Prep,5,2018,All Students,93,616,18,19.4,10,10.8,15,16.1,50,53.8,65,69.9
127,02M040,P.S. 040 Augustus Saint-Gaudens,3,2018,All Students,94,625,3,3.2,5,5.3,45,47.9,41,43.6,86,91.5
128,02M040,P.S. 040 Augustus Saint-Gaudens,4,2018,All Students,94,624,0,0.0,8,8.5,22,23.4,64,68.1,86,91.5
129,02M040,P.S. 040 Augustus Saint-Gaudens,5,2018,All Students,91,625,1,1.1,14,15.4,16,17.6,60,65.9,76,83.5
131,02M041,P.S. 041 Greenwich Village,3,2018,All Students,88,619,4,4.5,7,8.0,49,55.7,28,31.8,77,87.5
132,02M041,P.S. 041 Greenwich Village,4,2018,All Students,122,628,2,1.6,8,6.6,17,13.9,95,77.9,112,91.8
133,02M041,P.S. 041 Greenwich Village,5,2018,All Students,102,618,5,4.9,19,18.6,32,31.4,46,45.1,78,76.5
135,02M042,P.S. 042 Benjamin Altman,3,2018,All Students,85,596,23,27.1,24,28.2,31,36.5,7,8.2,38,44.7
136,02M042,P.S. 042 Benjamin Altman,4,2018,All Students,79,608,6,7.6,21,26.6,26,32.9,26,32.9,52,65.8
137,02M042,P.S. 042 Benjamin Altman,5,2018,All Students,123,618,7,5.7,30,24.4,35,28.5,51,41.5,86,69.9
139,02M051,P.S. 051 Elias Howe,3,2018,All Students,50,603,5,10.0,15,30.0,28,56.0,2,4.0,30,60.0
140,02M051,P.S. 051 Elias Howe,4,2018,All Students,57,603,6,10.5,23,40.4,12,21.1,16,28.1,28,49.1
141,02M051,P.S. 051 Elias Howe,5,2018,All Students,54,601,12,22.2,24,44.4,12,22.2,6,11.1,18,33.3
143,02M059,P.S. 059 Beekman Hill International,3,2018,All Students,99,619,4,4.0,11,11.1,52,52.5,32,32.3,84,84.8
144,02M059,P.S. 059 Beekman Hill International,4,2018,All Students,55,618,1,1.8,9,16.4,16,29.1,29,52.7,45,81.8
145,02M059,P.S. 059 Beekman Hill International,5,2018,All Students,87,622,1,1.1,17,19.5,22,25.3,47,54.0,69,79.3
147,02M077,P.S. 77 Lower Lab School,3,2018,All Students,64,628,0,0.0,0,0.0,33,51.6,31,48.4,64,100.0
148,02M077,P.S. 77 Lower Lab School,4,2018,All Students,63,632,0,0.0,0,0.0,6,9.5,57,90.5,63,100.0
149,02M077,P.S. 77 Lower Lab School,5,2018,All Students,57,631,0,0.0,0,0.0,9,15.8,48,84.2,57,100.0
151,02M089,P.S. 89,3,2018,All Students,57,615,0,0.0,8,14.0,42,73.7,7,12.3,49,86.0
152,02M089,P.S. 89,4,2018,All Students,74,620,1,1.4,7,9.5,26,35.1,40,54.1,66,89.2
153,02M089,P.S. 89,5,2018,All Students,40,624,0,0.0,5,12.5,12,30.0,23,57.5,35,87.5
155,02M104,J.H.S. 104 Simon Baruch,6,2018,All Students,358,611,43,12.0,49,13.7,85,23.7,181,50.6,266,74.3
156,02M104,J.H.S. 104 Simon Baruch,7,2018,All Students,352,615,23,6.5,72,20.5,129,36.6,128,36.4,257,73.0
157,02M104,J.H.S. 104 Simon Baruch,8,2018,All Students,342,612,31,9.1,60,17.5,93,27.2,158,46.2,251,73.4
159,02M111,P.S. 111 Adolph S. Ochs,3,2018,All Students,50,604,7,14.0,17,34.0,17,34.0,9,18.0,26,52.0
160,02M111,P.S. 111 Adolph S. Ochs,4,2018,All Students,52,599,14,26.9,17,32.7,11,21.2,10,19.2,21,40.4
161,02M111,P.S. 111 Adolph S. Ochs,5,2018,All Students,54,602,13,24.1,18,33.3,16,29.6,7,13.0,23,42.6
163,02M114,East Side Middle School,6,2018,All Students,141,627,1,0.7,5,3.5,12,8.5,123,87.2,135,95.7
164,02M114,East Side Middle School,7,2018,All Students,149,623,0,0.0,8,5.4,56,37.6,85,57.0,141,94.6
165,02M114,East Side Middle School,8,2018,All Students,149,627,1,0.7,4,2.7,28,18.8,116,77.9,144,96.6
167,02M116,P.S. 116 Mary Lindley Murray,3,2018,All Students,80,607,4,5.0,22,27.5,49,61.3,5,6.3,54,67.5
168,02M116,P.S. 116 Mary Lindley Murray,4,2018,All Students,67,611,2,3.0,18,26.9,28,41.8,19,28.4,47,70.1
169,02M116,P.S. 116 Mary Lindley Murray,5,2018,All Students,80,609,18,22.5,14,17.5,27,33.8,21,26.3,48,60.0
171,02M124,P.S. 124 Yung Wing,3,2018,All Students,96,623,1,1.0,5,5.2,56,58.3,34,35.4,90,93.8
172,02M124,P.S. 124 Yung Wing,4,2018,All Students,90,618,3,3.3,11,12.2,26,28.9,50,55.6,76,84.4
173,02M124,P.S. 124 Yung Wing,5,2018,All Students,133,616,11,8.3,30,22.6,40,30.1,52,39.1,92,69.2
175,02M126,P.S. 126 Jacob August Riis,3,2018,All Students,64,597,13,20.3,24,37.5,24,37.5,3,4.7,27,42.2
176,02M126,P.S. 126 Jacob August Riis,4,2018,All Students,63,604,6,9.5,23,36.5,20,31.7,14,22.2,34,54.0
177,02M126,P.S. 126 Jacob August Riis,5,2018,All Students,79,605,14,17.7,29,36.7,24,30.4,12,15.2,36,45.6
178,02M126,P.S. 126 Jacob August Riis,6,2018,All Students,118,613,8,6.8,16,13.6,26,22.0,68,57.6,94,79.7
179,02M126,P.S. 126 Jacob August Riis,7,2018,All Students,103,613,11,10.7,18,17.5,44,42.7,30,29.1,74,71.8
180,02M126,P.S. 126 Jacob August Riis,8,2018,All Students,107,616,3,2.8,16,15.0,34,31.8,54,50.5,88,82.2
182,02M130,P.S. 130 Hernando De Soto,3,2018,All Students,147,615,9,6.1,22,15.0,78,53.1,38,25.9,116,78.9
183,02M130,P.S. 130 Hernando De Soto,4,2018,All Students,168,624,3,1.8,11,6.5,44,26.2,110,65.5,154,91.7
184,02M130,P.S. 130 Hernando De Soto,5,2018,All Students,160,616,11,6.9,28,17.5,64,40.0,57,35.6,121,75.6
186,02M131,M.S. 131,6,2018,All Students,120,592,43,35.8,32,26.7,27,22.5,18,15.0,45,37.5
187,02M131,M.S. 131,7,2018,All Students,147,598,35,23.8,53,36.1,51,34.7,8,5.4,59,40.1
188,02M131,M.S. 131,8,2018,All Students,108,599,21,19.4,30,27.8,39,36.1,18,16.7,57,52.8
190,02M150,P.S. 150,3,2018,All Students,29,616,0,0.0,3,10.3,21,72.4,5,17.2,26,89.7
191,02M150,P.S. 150,4,2018,All Students,24,628,0,0.0,1,4.2,3,12.5,20,83.3,23,95.8
192,02M150,P.S. 150,5,2018,All Students,21,631,0,0.0,0,0.0,3,14.3,18,85.7,21,100.0
194,02M151,Yorkville Community School,3,2018,All Students,63,606,5,7.9,19,30.2,32,50.8,7,11.1,39,61.9
195,02M151,Yorkville Community School,4,2018,All Students,88,611,8,9.1,20,22.7,23,26.1,37,42.0,60,68.2
196,02M151,Yorkville Community School,5,2018,All Students,71,613,10,14.1,15,21.1,18,25.4,28,39.4,46,64.8
198,02M158,P.S. 158 Bayard Taylor,3,2018,All Students,118,616,1,0.8,21,17.8,67,56.8,29,24.6,96,81.4
199,02M158,P.S. 158 Bayard Taylor,4,2018,All Students,100,625,0,0.0,10,10.0,22,22.0,68,68.0,90,90.0
200,02M158,P.S. 158 Bayard Taylor,5,2018,All Students,101,620,1,1.0,19,18.8,34,33.7,47,46.5,81,80.2
202,02M167,J.H.S. 167 Robert F. Wagner,6,2018,All Students,435,615,23,5.3,49,11.3,94,21.6,269,61.8,363,83.4
203,02M167,J.H.S. 167 Robert F. Wagner,7,2018,All Students,442,616,20,4.5,89,20.1,179,40.5,154,34.8,333,75.3
204,02M167,J.H.S. 167 Robert F. Wagner,8,2018,All Students,396,614,12,3.0,61,15.4,138,34.8,185,46.7,323,81.6
206,02M177,Yorkville East Middle School,6,2018,All Students,70,611,2,2.9,16,22.9,23,32.9,29,41.4,52,74.3
207,02M177,Yorkville East Middle School,7,2018,All Students,72,613,4,5.6,12,16.7,42,58.3,14,19.4,56,77.8
208,02M177,Yorkville East Middle School,8,2018,All Students,80,609,4,5.0,22,27.5,22,27.5,32,40.0,54,67.5
210,02M183,P.S. 183 Robert L. Stevenson,3,2018,All Students,81,620,0,0.0,6,7.4,43,53.1,32,39.5,75,92.6
211,02M183,P.S. 183 Robert L. Stevenson,4,2018,All Students,71,622,1,1.4,6,8.5,18,25.4,46,64.8,64,90.1
212,02M183,P.S. 183 Robert L. Stevenson,5,2018,All Students,81,619,3,3.7,14,17.3,26,32.1,38,46.9,64,79.0
214,02M198,P.S. 198 Isador E. Ida Straus,3,2018,All Students,49,622,2,4.1,1,2.0,28,57.1,18,36.7,46,93.9
215,02M198,P.S. 198 Isador E. Ida Straus,4,2018,All Students,58,621,1,1.7,10,17.2,14,24.1,33,56.9,47,81.0
216,02M198,P.S. 198 Isador E. Ida Straus,5,2018,All Students,60,612,9,15.0,14,23.3,19,31.7,18,30.0,37,61.7
218,02M212,P.S. 212 Midtown West,3,2018,All Students,52,621,0,0.0,4,7.7,31,59.6,17,32.7,48,92.3
219,02M212,P.S. 212 Midtown West,4,2018,All Students,48,613,1,2.1,12,25.0,22,45.8,13,27.1,35,72.9
220,02M212,P.S. 212 Midtown West,5,2018,All Students,54,616,5,9.3,14,25.9,15,27.8,20,37.0,35,64.8
222,02M217,P.S./I.S. 217 Roosevelt Island,3,2018,All Students,78,614,2,2.6,15,19.2,47,60.3,14,17.9,61,78.2
223,02M217,P.S./I.S. 217 Roosevelt Island,4,2018,All Students,87,618,3,3.4,14,16.1,25,28.7,45,51.7,70,80.5
224,02M217,P.S./I.S. 217 Roosevelt Island,5,2018,All Students,53,617,3,5.7,10,18.9,18,34.0,22,41.5,40,75.5
225,02M217,P.S./I.S. 217 Roosevelt Island,6,2018,All Students,27,597,8,29.6,9,33.3,3,11.1,7,25.9,10,37.0
226,02M217,P.S./I.S. 217 Roosevelt Island,7,2018,All Students,23,611,3,13.0,6,26.1,5,21.7,9,39.1,14,60.9
227,02M217,P.S./I.S. 217 Roosevelt Island,8,2018,All Students,18,604,2,11.1,5,27.8,6,33.3,5,27.8,11,61.1
229,02M225,Ella Baker School,3,2018,All Students,7,s,s,s,s,s,s,s,s,s,s,s
230,02M225,Ella Baker School,4,2018,All Students,14,611,0,0.0,4,28.6,6,42.9,4,28.6,10,71.4
231,02M225,Ella Baker School,5,2018,All Students,14,613,2,14.3,2,14.3,5,35.7,5,35.7,10,71.4
232,02M225,Ella Baker School,6,2018,All Students,9,609,0,0.0,2,22.2,4,44.4,3,33.3,7,77.8
233,02M225,Ella Baker School,7,2018,All Students,15,609,2,13.3,2,13.3,8,53.3,3,20.0,11,73.3
234,02M225,Ella Baker School,8,2018,All Students,2,s,s,s,s,s,s,s,s,s,s,s
236,02M234,P.S. 234 Independence School,3,2018,All Students,107,613,5,4.7,11,10.3,74,69.2,17,15.9,91,85.0
237,02M234,P.S. 234 Independence School,4,2018,All Students,95,618,1,1.1,9,9.5,37,38.9,48,50.5,85,89.5
238,02M234,P.S. 234 Independence School,5,2018,All Students,104,620,1,1.0,18,17.3,40,38.5,45,43.3,85,81.7
240,02M255,M.S. 255 Salk School of Science,6,2018,All Students,130,620,4,3.1,4,3.1,23,17.7,99,76.2,122,93.8
241,02M255,M.S. 255 Salk School of Science,7,2018,All Students,128,624,1,0.8,11,8.6,44,34.4,72,56.3,116,90.6
242,02M255,M.S. 255 Salk School of Science,8,2018,All Students,121,622,0,0.0,4,3.3,31,25.6,86,71.1,117,96.7
244,02M260,M.S. 260 Clinton School Writers & Artists,6,2018,All Students,95,625,2,2.1,4,4.2,10,10.5,79,83.2,89,93.7
245,02M260,M.S. 260 Clinton School Writers & Artists,7,2018,All Students,94,621,1,1.1,8,8.5,45,47.9,40,42.6,85,90.4
246,02M260,M.S. 260 Clinton School Writers & Artists,8,2018,All Students,89,618,1,1.1,14,15.7,20,22.5,54,60.7,74,83.1
248,02M267,"East Side Elementary School, PS 267",3,2018,All Students,53,619,2,3.8,3,5.7,29,54.7,19,35.8,48,90.6
249,02M267,"East Side Elementary School, PS 267",4,2018,All Students,52,617,0,0.0,7,13.5,20,38.5,25,48.1,45,86.5
250,02M267,"East Side Elementary School, PS 267",5,2018,All Students,50,623,2,4.0,4,8.0,15,30.0,29,58.0,44,88.0
252,02M276,Battery Park City School,3,2018,All Students,89,614,2,2.2,16,18.0,57,64.0,14,15.7,71,79.8
253,02M276,Battery Park City School,4,2018,All Students,87,614,2,2.3,14,16.1,36,41.4,35,40.2,71,81.6
254,02M276,Battery Park City School,5,2018,All Students,105,619,5,4.8,17,16.2,27,25.7,56,53.3,83,79.0
255,02M276,Battery Park City School,6,2018,All Students,91,614,7,7.7,12,13.2,19,20.9,53,58.2,72,79.1
256,02M276,Battery Park City School,7,2018,All Students,88,616,6,6.8,13,14.8,36,40.9,33,37.5,69,78.4
257,02M276,Battery Park City School,8,2018,All Students,81,613,1,1.2,20,24.7,20,24.7,40,49.4,60,74.1
259,02M281,The River School,3,2018,All Students,23,619,0,0.0,4,17.4,11,47.8,8,34.8,19,82.6
260,02M281,The River School,4,2018,All Students,25,615,0,0.0,8,32.0,7,28.0,10,40.0,17,68.0
262,02M289,I.S. 289,6,2018,All Students,88,611,6,6.8,12,13.6,30,34.1,40,45.5,70,79.5
263,02M289,I.S. 289,7,2018,All Students,88,614,3,3.4,23,26.1,41,46.6,21,23.9,62,70.5
264,02M289,I.S. 289,8,2018,All Students,86,611,0,0.0,21,24.4,36,41.9,29,33.7,65,75.6
266,02M290,P.S. 290 Manhattan New School,3,2018,All Students,86,619,1,1.2,3,3.5,55,64.0,27,31.4,82,95.3
267,02M290,P.S. 290 Manhattan New School,4,2018,All Students,90,625,0,0.0,5,5.6,21,23.3,64,71.1,85,94.4
268,02M290,P.S. 290 Manhattan New School,5,2018,All Students,82,624,0,0.0,14,17.1,15,18.3,53,64.6,68,82.9
270,02M297,M.S. 297,6,2018,All Students,185,606,23,12.4,42,22.7,54,29.2,66,35.7,120,64.9
272,02M312,New York City Lab Middle School for Collaborative,6,2018,All Students,187,620,9,4.8,6,3.2,27,14.4,145,77.5,172,92.0
273,02M312,New York City Lab Middle School for Collaborative,7,2018,All Students,176,624,7,4.0,7,4.0,61,34.7,101,57.4,162,92.0
274,02M312,New York City Lab Middle School for Collaborative,8,2018,All Students,175,620,8,4.6,14,8.0,39,22.3,114,65.1,153,87.4
276,02M340,Sixth Avenue Elementary School,3,2018,All Students,37,612,3,8.1,7,18.9,21,56.8,6,16.2,27,73.0
278,02M343,The Peck Slip School,3,2018,All Students,60,610,2,3.3,18,30.0,34,56.7,6,10.0,40,66.7
279,02M343,The Peck Slip School,4,2018,All Students,52,611,0,0.0,16,30.8,22,42.3,14,26.9,36,69.2
280,02M343,The Peck Slip School,5,2018,All Students,41,614,4,9.8,6,14.6,16,39.0,15,36.6,31,75.6
282,02M347,The 47 American Sign Language & English Lower Scho,3,2018,All Students,4,s,s,s,s,s,s,s,s,s,s,s
283,02M347,The 47 American Sign Language & English Lower Scho,4,2018,All Students,5,s,s,s,s,s,s,s,s,s,s,s
284,02M347,The 47 American Sign Language & English Lower Scho,5,2018,All Students,11,613,0,0.0,5,45.5,2,18.2,4,36.4,6,54.5
