,Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Offers Kindergarten Classes,Has A Pre-K,Grades Offered,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal,Geographical District Code,Admin District Location Code,Lat,Lon,Pre-K Seats Available,Pre-K Applicants,Pre-K offers,Pre-K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre-K Total Enrollment Including Half Day And Full Day,Number of Female Students in Pre-K,Percentage of Female Students in Pre-K,Number of Male Students in Pre-K,Percentage of Male Students in Pre-K,Number of Asian Students in Pre-K,Percentage of Asian Students in Pre-K,Number of Black Students in Pre-K,Percentage of Black Students in Pre-K,Number of Hispanic Students in Pre-K,Percentage of Hispanic Students in Pre-K,Number of Students with a Race listed as Other in Pre-K,Percentage of Students with a Race listed as Other in Pre-K,Number of White Students in Pre-K,Percentage of White Students in Pre-K,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
247,11X021,X021,P.S. 021 Philip H. Sheridan,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1915,1915,103,1023120,262791,212,12,40600,2048390039,BX44,Williamsbridge-Olinville                                                   ,Joyce Coleman,11,X10C,40.887888000000004,-73.85942,No Pre K,No Pre K,No Pre K,No Pre K,100,157,80,51%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,94,26%,78,22%,No,15,26,0,0,0,1,Gymnasium,N,Inside,N,Yes,Yes,67,"$6,921,966",$0,$0,707,105,109,110,130,142,111,0,0,0,0,0,0,0,308,44%,399,56%,17,2%,458,65%,196,28%,25,4%,11,2%,132,19%,71,10%,646,91%,88%,353,482,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-652-3903,"715 EAST 225 STREET, BRONX NY 10466",1,1,No,Not Accessible,Yes
248,11X041,X041,P.S. 041 Gun Hill Road,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1905,1905,113,1020801,258002,212,12,37400,2046240015,BX44,Williamsbridge-Olinville                                                   ,Erika Tobia,11,X10C,40.874753999999996,-73.867834,No Pre K,No Pre K,No Pre K,No Pre K,125,270,124,46%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,178,41%,179,41%,No,16,25,0,0,25,1,Gymnasium,N,Inside,N,Yes,Yes,93,"$9,001,033",$0,$0,920,128,143,156,145,174,174,0,0,0,0,0,0,0,462,50%,458,50%,21,2%,454,49%,421,46%,5,1%,19,2%,171,19%,109,12%,906,98%,90%,214,631,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-652-3461,"3352 OLINVILLE AVENUE, BRONX NY 10467",2,2,No,Not Accessible,Yes
249,11X068,X068,P.S. 068 Bronx,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, SE",7/1/1926,1926,92,1028797,264154,212,12,42600,2049860081,BX62,Woodlawn-Wakefield                                                         ,Aidimaris Soler,11,X10C,40.891603,-73.83888,18,134,18,13%,83,176,77,44%,No Data,No Data,No Data,No Data,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,17,8,47%,9,53%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,15,88%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,151,44%,127,39%,No,25,24,0,0,18,1,Gymnasium,N,Inside,N,No,No,100,"$10,113,807",$0,$0,681,90,104,113,113,125,119,0,0,0,0,0,0,0,327,48%,354,52%,10,1%,521,77%,134,20%,10,1%,6,1%,164,24%,5,1%,473,69%,73%,189,504,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-324-2854,"4011 MONTICELLO AVENUE, BRONX NY 10466",3,1,No,Partially Accessible,No
250,11X076,X076,P.S. 076 The Bennington School,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1932,1932,86,1022714,255930,211,12,34200,2045520010,BX31,Allerton-Pelham Gardens                                                    ,Darlene Teron,11,X10C,40.869059,-73.860928,0,Suppressed for Privacy,Suppressed for Privacy,Suppressed for Privacy,150,220,98,45%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,103,21%,86,18%,No,60,21,0,0,22,1,Gymnasium,N,Inside,N,Yes,Yes,110,"$9,285,498",$0,$0,956,135,157,157,170,168,169,0,0,0,0,0,0,0,450,47%,506,53%,39,4%,433,45%,405,42%,15,2%,64,7%,156,16%,138,14%,727,76%,81%,135,694,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-882-8865,"900 ADEE AVENUE, BRONX NY 10469",2,0,No,Not Accessible,No
251,11X078,X078,P.S. 078 Anne Hutchinson,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1924,1924,94,1025575,259365,212,12,38600,2047190001,BX03,Eastchester-Edenwald-Baychester                                            ,Claudina Skerritt,11,X10C,40.878474,-73.850563,36,148,36,24%,125,186,135,73%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,15,42%,21,58%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,25,69%,10,28%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,109,28%,92,23%,No,23,26,0,0,21,0,Gymnasium,N,Inside,N,Yes,Yes,85,"$8,490,978",$0,$0,824,130,129,116,148,134,131,0,0,0,0,0,0,0,394,48%,430,52%,13,2%,593,72%,191,23%,5,1%,22,3%,131,16%,50,6%,689,84%,81%,297,628,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-652-1244,"1400 NEEDHAM AVENUE, BRONX NY 10469",2,1,No,Not Accessible,No
252,11X083,X083,P.S. 083 Donald Hertz,321000000000.0,DOE,General Academic,K-8,Yes,No,"K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1925,1925,93,1023323,248687,211,13,24400,2041250001,BX37,Van Nest-Morris Park-Westchester Square                                    ,Brandon Muccino,11,X10C,40.849176,-73.858769,No Pre K,No Pre K,No Pre K,No Pre K,125,325,130,40%,Nan,206,212,1.029126214,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,524,45%,470,40%,No,79,25,0,0,26,3,Multi-Purpose Classroom,N,Inside,Y,Yes,Yes,160,"$15,296,179",$0,$0,1698,136,139,174,192,197,193,218,220,229,0,0,0,0,826,49%,872,51%,153,9%,114,7%,818,48%,19,1%,594,35%,320,19%,297,17%,1086,64%,71%,124,532,3,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-863-1993,"950 RHINELANDER AVENUE, BRONX NY 10462",3,2,No,Partially Accessible,No
253,11X087,X087,P.S. 087 Bronx,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1931,1931,87,1026771,265658,212,12,42800,2050180001,BX62,Woodlawn-Wakefield                                                         ,Donna Anaman,11,X10C,40.895740999999994,-73.846198,No Pre K,No Pre K,No Pre K,No Pre K,75,146,73,50%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,103,33%,113,37%,No,6,26,0,0,25,1,Multi-Purpose Non Classroom,N,Inside,Y,No,Yes,67,"$6,271,805",$0,$0,594,83,88,102,104,116,101,0,0,0,0,0,0,0,271,46%,323,54%,35,6%,415,70%,101,17%,35,6%,8,1%,121,20%,16,3%,500,84%,72%,147,448,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-324-5188,"1935 BUSSING AVENUE, BRONX NY 10466",2,1,No,Not Accessible,No
254,11X089,X089,P.S. 089 Bronx,321000000000.0,DOE,General Academic,K-8,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1927,1927,91,1023181,253534,211,13,32400,2044440016,BX07,Bronxdale                                                                  ,Ralph Martinez,11,X10C,40.862481,-73.859254,54,213,54,25%,150,250,128,51%,23,460,206,0.447826087,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,54,28,52%,26,48%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,7,13%,30,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,9,17%,293,33%,238,29%,No,18,23,0,0,24,3,Gymnasium,N,Inside,N,Yes,Yes,135,"$14,960,630",$0,$0,1548,142,143,179,164,179,170,185,174,158,0,0,0,0,780,50%,768,50%,142,9%,292,19%,844,55%,24,2%,246,16%,264,17%,322,21%,1193,77%,83%,185,897,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-653-0835,"980 MACE AVENUE, BRONX NY 10469",3,1,No,Not Accessible,No
255,11X096,X096,P.S. 096 Richard Rodgers,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1930,1930,88,1020490,252892,211,15,33201,2043410013,BX07,Bronxdale                                                                  ,Marta Garcia,11,X10C,40.86073,-73.86898599999999,No Pre K,No Pre K,No Pre K,No Pre K,150,267,119,45%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,146,31%,170,36%,No,0,23,0,0,22,1,Multi-Purpose Non Classroom,N,Inside,Y,Yes,Yes,94,"$8,964,123",$0,$0,952,141,161,159,154,175,162,0,0,0,0,0,0,0,481,51%,471,49%,34,4%,198,21%,613,64%,12,1%,95,10%,185,19%,93,10%,778,82%,86%,380,721,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-652-4959,"2385 OLINVILLE AVENUE, BRONX NY 10467",2,1,No,Fully Accessible,No
256,11X097,X097,P.S. 097 Bronx,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1931,1931,87,1026634,253920,211,13,31400,2044740001,BX31,Allerton-Pelham Gardens                                                    ,Katheleen Bornkamp,11,X10C,40.863524,-73.84676800000001,No Pre K,No Pre K,No Pre K,No Pre K,125,244,99,41%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,136,41%,117,36%,No,Redacted For Privacy Concerns,16,0,0,19,0,Outdoor Yard,N,Outside,N,Yes,Yes,75,"$6,879,487",$0,$0,659,87,108,112,107,115,130,0,0,0,0,0,0,0,336,51%,323,49%,117,18%,178,27%,244,37%,14,2%,106,16%,136,21%,59,9%,525,80%,65%,109,449,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-655-4446,"1375 MACE AVENUE, BRONX NY 10469",1,1,No,Not Accessible,No
257,11X103,X103,P.S. 103 Hector Fontanez,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1932,1932,86,1022421,264360,212,12,42000,2048230001,BX44,Williamsbridge-Olinville                                                   ,Farid Reyes,11,X10C,40.892198,-73.86194,No Pre K,No Pre K,No Pre K,No Pre K,160,190,121,64%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,166,30%,119,21%,No,46,19,0,0,17,3,Multi-Purpose Classroom,N,Inside,Y,Yes,Yes,121,"$11,096,472",$0,$0,1129,163,170,191,212,174,219,0,0,0,0,0,0,0,549,49%,580,51%,26,2%,557,49%,483,43%,37,3%,26,2%,235,21%,200,18%,1004,89%,87%,432,756,3,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,Spanish,718-655-0261,"4125 CARPENTER AVENUE, BRONX NY 10466",2,1,No,Not Accessible,No
258,11X105,X105,P.S. 105 Sen Abraham Bernstein,321000000000.0,DOE,General Academic,Elementary,Yes,No,"K, 1, 2, 3, 4, 5, SE",7/1/1930,1930,88,1021247,250104,211,13,22404,2042880001,BX49,Pelham Parkway                                                             ,Christophe Eustace,11,X10C,40.853075,-73.866264,36,135,36,27%,150,251,155,62%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,202,35%,194,33%,No,6,24,0,0,24,1,Gymnasium,N,Inside,N,Yes,Yes,110,"$11,767,373",$0,$0,1101,147,164,176,179,179,256,0,0,0,0,0,0,0,537,49%,564,51%,89,8%,125,11%,690,63%,22,2%,175,16%,202,18%,290,26%,1004,91%,87%,156,751,4,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-824-7350,"725 BRADY AVENUE, BRONX NY 10462",2,1,No,Not Accessible,No
259,11X106,X106,P.S. 106 Parkchester,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1932,1932,86,1024422,244243,209,18,22200,2039460007,BX46,Parkchester                                                                ,Eugenia Montalvo,11,X10C,40.836974,-73.854823,54,304,54,18%,175,401,230,57%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,52,26,50%,26,50%,32,62%,6,12%,12,23%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,198,41%,198,40%,No,Redacted For Privacy Concerns,24,0,0,25,1,Gymnasium,N,Inside,N,Yes,Yes,106,"$10,480,083",$0,$0,1100,178,177,163,198,165,167,0,0,0,0,0,0,0,521,47%,579,53%,379,34%,291,26%,376,34%,17,2%,37,3%,190,17%,166,15%,813,74%,77%,256,780,3,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-892-1006,"1514 OLMSTEAD AVENUE, BRONX NY 10462",1,1,No,Fully Accessible,No
260,11X108,X108,P.S. 108 Philip J. Abinanti,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1938,1938,80,1024957,250593,211,13,28800,2042750001,BX49,Pelham Parkway                                                             ,Charles Sperrazza,11,X10C,40.8547,-73.8532,18,186,18,10%,100,361,111,31%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,17,8,47%,9,53%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,6,35%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,10,59%,131,55%,125,53%,No,11,24,0,0,21,1,Multi-Purpose Room,N,Inside,Y,No,Yes,60,"$5,744,949",$0,$0,614,92,109,102,89,97,108,0,0,0,0,0,0,0,275,45%,339,55%,66,11%,36,6%,260,42%,12,2%,240,39%,92,15%,73,12%,477,78%,60%,90,443,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-863-9829,"1166 NEILL AVENUE, BRONX NY 10461",1,0,No,Not Accessible,No
261,11X111,X111,P.S. 111 Seton Falls,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1963,1963,55,1028689,261519,212,12,48400,2049160001,BX03,Eastchester-Edenwald-Baychester                                            ,Celina Gutierrez,11,X10C,40.884371,-73.839288,46,132,46,35%,100,154,92,60%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,49,19,39%,30,61%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,31,63%,15,31%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,80,27%,85,29%,No,6,25,0,0,17,1,Dance Room,Y,Inside,N,Yes,Yes,90,"$8,433,638",$0,$0,677,97,113,113,108,90,107,0,0,0,0,0,0,0,348,51%,329,49%,9,1%,411,61%,243,36%,6,1%,8,1%,183,27%,43,6%,622,92%,86%,193,508,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-881-2418,"3740 BAYCHESTER AVENUE, BRONX NY 10466",1,1,Yes,Partially Accessible,Yes
262,11X112,X112,P.S. 112 Bronxwood,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1953,1953,65,1027392,261724,212,12,45800,2049050500,BX03,Eastchester-Edenwald-Baychester                                            ,Andrea Tucci,11,X10C,40.88494,-73.843977,38,139,37,27%,75,153,76,50%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,51,20,39%,31,61%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,23,45%,24,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,No,6,24,0,0,21,1,Multi-Purpose Classroom,N,Inside,Y,Yes,Yes,61,"$6,617,485",$0,$0,432,76,55,63,61,64,62,0,0,0,0,0,0,0,209,48%,223,52%,2,0%,210,49%,209,48%,0,0%,11,3%,97,22%,20,5%,420,97%,92%,265,354,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-654-6377,"1925 SCHIEFFELIN AVENUE, BRONX NY 10466",1,0,No,Not Accessible,No
263,11X121,X121,P.S. 121 Throop,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1953,1953,65,1025597,254993,211,13,34800,2045260001,BX31,Allerton-Pelham Gardens                                                    ,Gloria Martinez,11,X10C,40.866474,-73.85051,36,174,36,21%,125,246,86,35%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,16,44%,20,56%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,21,58%,11,31%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,149,33%,145,32%,Yes,12,20,0,17,23,0,Gymnasium,N,Inside,N,Yes,Yes,88,"$8,247,234",$0,$0,917,124,131,136,160,161,169,0,0,0,0,0,0,0,451,49%,466,51%,67,7%,513,56%,275,30%,9,1%,53,6%,160,17%,57,6%,621,68%,74%,155,586,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,None,718-654-2055,"2750 THROOP AVENUE, BRONX NY 10469",1,1,No,Not Accessible,No
264,11X153,X153,P.S. 153 Helen Keller,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/1971,1971,47,1030803,257757,210,12,46201,2051410150,BX13,Co-op City                                                                 ,"Kelley, Meghan",11,X10C,40.874035,-73.83166899999999,18,210,18,9%,75,396,74,19%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,18,9,50%,9,50%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,17,94%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,208,62%,184,56%,Yes,24,18,0,21,0,2,Auxiliary Exercise Room,Y,Inside,N,No,Yes,74,"$6,624,706",$0,$0,649,79,91,116,117,109,119,0,0,0,0,0,0,0,317,49%,332,51%,74,11%,377,58%,159,24%,12,2%,27,4%,77,12%,13,2%,419,65%,49%,119,400,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,None,718-904-5550,"650 BAYCHESTER AVENUE, BRONX NY 10475",1,1,Yes,Partially Accessible,No
265,11X160,X160,P.S. 160 Walt Disney,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, 6, SE",7/1/1972,1972,46,1032982,254132,210,12,30200,2051350200,BX13,Co-op City                                                                 ,Lori Baker,11,X10C,40.864073,-73.82381600000001,54,160,43,27%,60,145,56,39%,No Data,No Data,No Data,No Data,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,53,28,53%,25,47%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,34,64%,16,30%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,66,40%,56,34%,No,Redacted For Privacy Concerns,15,0,0,17,1,Auxiliary Exercise Room,Y,Inside,N,Yes,Yes,62,"$6,114,534",$0,$0,410,52,70,64,55,56,60,0,0,0,0,0,0,0,191,47%,219,53%,7,2%,256,62%,129,31%,12,3%,6,1%,92,22%,19,5%,292,71%,57%,91,253,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-822-8402,"4140 HUTCHINSON RIVER PKWAY EA, BRONX NY 10475",1,2,Yes,Fully Accessible,No
266,11X169,X169,Baychester Academy,321000000000.0,DOE,General Academic,Elementary,Yes,Yes,"Pre-K, K, 1, 2, 3, 4, 5, SE",7/1/2009,2009,9,1028664,260416,212,12,46000,2048940001,BX03,Eastchester-Edenwald-Baychester                                            ,Cristine Vaughan,11,X10C,40.881344,-73.839386,36,269,36,13%,50,324,54,17%,No 6th Grade,No 6th Grade,No 6th Grade,No 6th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,36,24,67%,12,33%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,29,81%,6,17%,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,Suppressed For Privacy Concerns,101,60%,89,53%,No,31,25,0,0,25,0,Multi-Purpose Classroom,N,Inside,Y,No,Yes,61,"$4,923,563",$0,$0,409,50,53,65,65,65,75,0,0,0,0,0,0,0,220,54%,189,46%,5,1%,300,73%,86,21%,13,3%,5,1%,67,16%,22,5%,350,86%,71%,227,367,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,None,718-325-1138,"3500 EDSON AVENUE, BRONX NY 10466",0,2,No,Fully Accessible,Yes
267,11X175,X175,P.S. 175 City Island,321000000000.0,DOE,General Academic,K-8,Yes,No,"K, 1, 2, 3, 4, 5, 6, 7, 8, SE",7/1/1975,1975,43,1044140,246972,210,13,51600,2056410280,BX10,Pelham Bay-Country Club-City Island                                        ,Amy Lipson Ellis,11,X10C,40.844353000000005,-73.78354,No Pre K,No Pre K,No Pre K,No Pre K,20,85,24,28%,Nan,45,Suppressed For Privacy,Suppressed For Privacy,No 9th Grade,No 9th Grade,No 9th Grade,No 9th Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,109,51%,106,50%,No,6,29,0,0,0,0,Gymnasium,N,Inside,N,No,Yes,33,"$3,215,133",$0,$0,332,29,37,41,36,26,43,25,51,44,0,0,0,0,170,51%,162,49%,12,4%,30,9%,119,36%,9,3%,162,49%,59,18%,10,3%,170,51%,36%,45,141,0,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,None,718-885-1093,"200 CITY ISLAND AVENUE, BRONX NY 10464",1,0,No,Not Accessible,No
